┌─────────┬──────────┬──────────┬──────────┬─────────────┐
│  Name   │ NA_Sales │ EU_Sales │ JP_Sales │ Other_Sales │
├─────────┼──────────┼──────────┼──────────┼─────────────┤
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
│ FIFA 17 │ 0.28     │ 3.75     │ 0.06     │ 0.69        │
│ FIFA 17 │ 0.17     │ 1.26     │ 0        │ 0.1         │
│ FIFA 17 │ 0.02     │ 0.29     │ 0.01     │ 0.05        │
│ FIFA 17 │ 0.03     │ 0.13     │ 0        │ 0.01        │
│ FIFA 17 │ 0        │ 0.05     │ 0        │ 0           │
└─────────┴──────────┴──────────┴──────────┴─────────────┘
