┌────────────────────────────────────────┬──────┬─────────────────┐
│               Publisher                │ Year │ Platforms_Count │
├────────────────────────────────────────┼──────┼─────────────────┤
│ 505 Games                              │ 2006 │ 5               │
│ 505 Games                              │ 2007 │ 5               │
│ 505 Games                              │ 2008 │ 4               │
│ 505 Games                              │ 2009 │ 6               │
│ 505 Games                              │ 2010 │ 4               │
│ 505 Games                              │ 2011 │ 5               │
│ 505 Games                              │ 2012 │ 4               │
│ 505 Games                              │ 2013 │ 4               │
│ 505 Games                              │ 2014 │ 4               │
│ 505 Games                              │ 2016 │ 5               │
│ 5pb                                    │ 2015 │ 4               │
│ Acclaim Entertainment                  │ 1994 │ 5               │
│ Acclaim Entertainment                  │ 2000 │ 4               │
│ Acclaim Entertainment                  │ 2001 │ 5               │
│ Acclaim Entertainment                  │ 2002 │ 4               │
│ Acclaim Entertainment                  │ 2003 │ 4               │
│ Activision                             │ 2000 │ 4               │
│ Activision                             │ 2001 │ 6               │
│ Activision                             │ 2002 │ 5               │
│ Activision                             │ 2003 │ 5               │
│ Activision                             │ 2004 │ 6               │
│ Activision                             │ 2005 │ 8               │
│ Activision                             │ 2006 │ 10              │
│ Activision                             │ 2007 │ 9               │
│ Activision                             │ 2008 │ 7               │
│ Activision                             │ 2009 │ 7               │
│ Activision                             │ 2010 │ 7               │
│ Activision                             │ 2011 │ 6               │
│ Activision                             │ 2012 │ 8               │
│ Activision                             │ 2013 │ 10              │
│ Activision                             │ 2014 │ 8               │
│ Activision                             │ 2015 │ 9               │
│ Activision                             │ 2016 │ 5               │
│ Activision                             │ N/A  │ 6               │
│ Activision Value                       │ 2008 │ 4               │
│ Activision Value                       │ 2009 │ 4               │
│ Alchemist                              │ 2010 │ 5               │
│ Alternative Software                   │ 2016 │ 4               │
│ Atari                                  │ 2001 │ 5               │
│ Atari                                  │ 2002 │ 5               │
│ Atari                                  │ 2003 │ 5               │
│ Atari                                  │ 2004 │ 5               │
│ Atari                                  │ 2005 │ 7               │
│ Atari                                  │ 2006 │ 8               │
│ Atari                                  │ 2007 │ 6               │
│ Atari                                  │ 2008 │ 7               │
│ Atari                                  │ 2009 │ 7               │
│ Atari                                  │ 2010 │ 4               │
│ Atari                                  │ 2011 │ 4               │
│ Atari                                  │ N/A  │ 5               │
│ Atlus                                  │ 2012 │ 6               │
│ Atlus                                  │ 2014 │ 4               │
│ Avanquest Software                     │ 2012 │ 5               │
│ BAM! Entertainment                     │ 2001 │ 4               │
│ BAM! Entertainment                     │ 2002 │ 4               │
│ BAM! Entertainment                     │ 2003 │ 4               │
│ Banpresto                              │ 2006 │ 4               │
│ Bethesda Softworks                     │ 2008 │ 5               │
│ Bethesda Softworks                     │ 2014 │ 5               │
│ Bigben Interactive                     │ 2015 │ 5               │
│ Black Bean Games                       │ 2008 │ 5               │
│ Black Bean Games                       │ 2009 │ 4               │
│ Black Bean Games                       │ 2011 │ 4               │
│ Brash Entertainment                    │ 2008 │ 4               │
│ Capcom                                 │ 2001 │ 5               │
│ Capcom                                 │ 2002 │ 4               │
│ Capcom                                 │ 2003 │ 4               │
│ Capcom                                 │ 2004 │ 5               │
│ Capcom                                 │ 2005 │ 6               │
│ Capcom                                 │ 2006 │ 7               │
│ Capcom                                 │ 2007 │ 4               │
│ Capcom                                 │ 2008 │ 7               │
│ Capcom                                 │ 2009 │ 6               │
│ Capcom                                 │ 2010 │ 6               │
│ Capcom                                 │ 2011 │ 8               │
│ Capcom                                 │ 2012 │ 6               │
│ Capcom                                 │ 2013 │ 5               │
│ Capcom                                 │ 2015 │ 6               │
│ Capcom                                 │ 2016 │ 5               │
│ Capcom                                 │ N/A  │ 5               │
│ City Interactive                       │ 2010 │ 4               │
│ Codemasters                            │ 2004 │ 4               │
│ Codemasters                            │ 2005 │ 4               │
│ Codemasters                            │ 2006 │ 5               │
│ Codemasters                            │ 2007 │ 6               │
│ Codemasters                            │ 2008 │ 5               │
│ Codemasters                            │ 2009 │ 6               │
│ Codemasters                            │ 2011 │ 5               │
│ Conspiracy Entertainment               │ 2010 │ 4               │
│ Crave Entertainment                    │ 2004 │ 4               │
│ Crave Entertainment                    │ 2005 │ 4               │
│ Crave Entertainment                    │ 2010 │ 4               │
│ Crave Entertainment                    │ 2011 │ 5               │
│ D3Publisher                            │ 2005 │ 4               │
│ D3Publisher                            │ 2006 │ 5               │
│ D3Publisher                            │ 2007 │ 5               │
│ D3Publisher                            │ 2008 │ 5               │
│ D3Publisher                            │ 2009 │ 6               │
│ D3Publisher                            │ 2010 │ 6               │
│ D3Publisher                            │ 2011 │ 7               │
│ D3Publisher                            │ 2012 │ 5               │
│ D3Publisher                            │ 2013 │ 7               │
│ DTP Entertainment                      │ 2008 │ 5               │
│ DTP Entertainment                      │ 2009 │ 4               │
│ DTP Entertainment                      │ 2010 │ 5               │
│ DTP Entertainment                      │ 2011 │ 6               │
│ Deep Silver                            │ 2008 │ 4               │
│ Deep Silver                            │ 2009 │ 6               │
│ Deep Silver                            │ 2010 │ 5               │
│ Deep Silver                            │ 2011 │ 6               │
│ Deep Silver                            │ 2014 │ 5               │
│ Deep Silver                            │ 2016 │ 5               │
│ Destineer                              │ 2008 │ 4               │
│ Disney Interactive Studios             │ 2005 │ 5               │
│ Disney Interactive Studios             │ 2007 │ 7               │
│ Disney Interactive Studios             │ 2008 │ 5               │
│ Disney Interactive Studios             │ 2009 │ 6               │
│ Disney Interactive Studios             │ 2010 │ 6               │
│ Disney Interactive Studios             │ 2011 │ 7               │
│ Disney Interactive Studios             │ 2012 │ 6               │
│ Disney Interactive Studios             │ 2013 │ 7               │
│ Disney Interactive Studios             │ 2014 │ 7               │
│ Disney Interactive Studios             │ 2015 │ 6               │
│ Eidos Interactive                      │ 1998 │ 4               │
│ Eidos Interactive                      │ 2000 │ 4               │
│ Eidos Interactive                      │ 2001 │ 4               │
│ Eidos Interactive                      │ 2003 │ 4               │
│ Eidos Interactive                      │ 2005 │ 6               │
│ Eidos Interactive                      │ 2006 │ 9               │
│ Eidos Interactive                      │ 2007 │ 7               │
│ Eidos Interactive                      │ 2008 │ 6               │
│ Eidos Interactive                      │ 2009 │ 7               │
│ Electronic Arts                        │ 2000 │ 4               │
│ Electronic Arts                        │ 2001 │ 8               │
│ Electronic Arts                        │ 2002 │ 6               │
│ Electronic Arts                        │ 2003 │ 5               │
│ Electronic Arts                        │ 2004 │ 6               │
│ Electronic Arts                        │ 2005 │ 8               │
│ Electronic Arts                        │ 2006 │ 10              │
│ Electronic Arts                        │ 2007 │ 9               │
│ Electronic Arts                        │ 2008 │ 8               │
│ Electronic Arts                        │ 2009 │ 7               │
│ Electronic Arts                        │ 2010 │ 7               │
│ Electronic Arts                        │ 2011 │ 8               │
│ Electronic Arts                        │ 2012 │ 8               │
│ Electronic Arts                        │ 2013 │ 10              │
│ Electronic Arts                        │ 2014 │ 8               │
│ Electronic Arts                        │ 2015 │ 5               │
│ Electronic Arts                        │ 2016 │ 5               │
│ Electronic Arts                        │ N/A  │ 7               │
│ Empire Interactive                     │ 2003 │ 4               │
│ Empire Interactive                     │ 2005 │ 5               │
│ Empire Interactive                     │ 2007 │ 4               │
│ Empire Interactive                     │ 2008 │ 4               │
│ Focus Home Interactive                 │ 2010 │ 4               │
│ Focus Home Interactive                 │ 2014 │ 6               │
│ Gamecock                               │ 2008 │ 4               │
│ Global Star                            │ 2004 │ 4               │
│ Global Star                            │ 2005 │ 4               │
│ Gotham Games                           │ 2003 │ 4               │
│ Hudson Soft                            │ 2010 │ 4               │
│ Idea Factory                           │ 2010 │ 5               │
│ Ignition Entertainment                 │ 2004 │ 6               │
│ Ignition Entertainment                 │ 2005 │ 5               │
│ Ignition Entertainment                 │ 2006 │ 4               │
│ Ignition Entertainment                 │ 2007 │ 4               │
│ Ignition Entertainment                 │ 2008 │ 5               │
│ Infogrames                             │ 2001 │ 4               │
│ Infogrames                             │ 2002 │ 6               │
│ Jaleco                                 │ 2003 │ 4               │
│ Kemco                                  │ 2002 │ 4               │
│ Kemco                                  │ 2003 │ 4               │
│ Koch Media                             │ 2008 │ 5               │
│ Koch Media                             │ 2015 │ 5               │
│ Konami Digital Entertainment           │ 1995 │ 4               │
│ Konami Digital Entertainment           │ 1996 │ 4               │
│ Konami Digital Entertainment           │ 2000 │ 6               │
│ Konami Digital Entertainment           │ 2001 │ 5               │
│ Konami Digital Entertainment           │ 2002 │ 5               │
│ Konami Digital Entertainment           │ 2003 │ 4               │
│ Konami Digital Entertainment           │ 2004 │ 6               │
│ Konami Digital Entertainment           │ 2005 │ 6               │
│ Konami Digital Entertainment           │ 2006 │ 9               │
│ Konami Digital Entertainment           │ 2007 │ 7               │
│ Konami Digital Entertainment           │ 2008 │ 6               │
│ Konami Digital Entertainment           │ 2009 │ 7               │
│ Konami Digital Entertainment           │ 2010 │ 7               │
│ Konami Digital Entertainment           │ 2011 │ 8               │
│ Konami Digital Entertainment           │ 2012 │ 7               │
│ Konami Digital Entertainment           │ 2013 │ 6               │
│ Konami Digital Entertainment           │ 2014 │ 7               │
│ Konami Digital Entertainment           │ 2015 │ 6               │
│ Konami Digital Entertainment           │ 2016 │ 4               │
│ Konami Digital Entertainment           │ N/A  │ 8               │
│ Level 5                                │ 2012 │ 4               │
